alert_id,timestamp,class_name,direction,distance_m,reaction_time_s
1,2025-11-25T13:24:52,person,LEFT,0.993,6.254
2,2025-11-25T13:24:56,person,LEFT,0.998,1.003
3,2025-11-25T13:25:03,person,LEFT,0.958,1.688
